" , ,""AC Temperatura Consigna"",""5/1/5"","""","""","""",""DPST-9-1"",""Auto"""
" , ,""AC On/Off Status"",""5/1/20"","""","""","""",""DPST-1-1"",""Auto"""
" , ,""AC Mode Status"",""5/1/21"","""","""","""",""DPST-20-105"",""Auto"""
" , ,""AC Velocitat Ventilador Status"",""5/1/22"","""","""","""",""DPST-5-10"",""Auto"""
" , ,""AC Ventilador Manual/Auto Status"",""5/1/23"","""","""","""",""DPST-1-2"",""Auto"""
" , ,""AC Velocitat Ventilador Text"",""5/1/24"","""","""","""",""DPST-16-1"",""Auto"""
" , ,""AC Temperatura Consigna Status"",""5/1/25"","""","""","""",""DPST-9-1"",""Auto"""
" , ,""AC Temperatura Retorn Status"",""5/1/26"","""","""","""",""DPST-9-1"",""Auto"""
" , ,""AC Error/Alarma"",""5/1/27"","""","""","""",""DPST-1-5"",""Auto"""
" , ,""AC Error Code"",""5/1/28"","""","""","""",""DPT-7"",""Auto"""
" , ,""AC Error Code Text"",""5/1/29"","""","""","""",""DPST-16-1"",""Auto"""
" , ,""AC Temp. Consigna Status Falsejat"",""5/1/30"","""","""","""",""DPT-9"",""Auto"""
" , ,""Pantalla Temperatura Interna"",""5/1/40"","""","""","""",""DPST-9-1"",""Auto"""
" , ,""Pantalla AC Velocitat Vent. Logic"",""5/1/41"","""","""","""",""DPST-5-10"",""Auto"""
" , ,""Pantalla AC Velocitat Vent. Status Logic"",""5/1/42"","""","""","""",""DPST-5-10"",""Auto"""
" , ,""Pantalla AC Ventilador Manual/Auto Logic"",""5/1/43"","""","""","""","""",""Auto"""
" , ,""Pantalla AC Ventilador Manual/Auto Status Logic"",""5/1/44"","""","""","""","""",""Auto"""
" , ,""Temp. Columna"",""5/1/60"","""","""","""",""DPST-9-1"",""Auto"""
" , ,""Temp. Moble TV"",""5/1/61"","""","""","""",""DPST-9-1"",""Auto"""
